class_name,str_encoding
AamirKhan,-0.0703714^0.15534206^-0.2017406^-0.070128374^-0.090715595^0.08695999^-0.03257386^0.014204007^0.038064305^0.19717172^0.0757822^-0.010926924^0.111857876^0.054571714^-0.13557455^0.030745793^0.014649554^0.026854496^-0.024250064^-0.015196747^-0.0050114626^-0.13350324^0.03125825^0.1289897^-0.082670234^-0.04154642^0.041199025^0.022571752^0.1316564^0.04936934^0.01866566^-0.00011021614^-0.023104062^-0.048972428^-0.16613306^0.043019075^-0.095362686^0.075644664^-0.0258792^0.20595534^-0.15659972^-0.034556787^-0.14187269^-0.039901197^0.05584955^-0.11966843^0.03487948^0.06768747^0.005840754^0.013455575^0.05992313^0.17876427^-0.099259436^-0.03248793^-0.08384746^0.09680914^0.084286235^0.10783627^0.04820778^-0.0368895^-0.09219195^0.044593155^0.16198541^-0.13160376^-0.07541861^-0.042533934^0.05790766^0.041931752^-0.07090984^0.089369886^-0.01941201^0.07654967^-0.08839892^0.13391203^0.08695813^-0.005272002^0.043584835^0.08535464^-0.029431101^-0.061386894^-0.07950436^-0.022749756^0.01896915^0.009046885^-0.09198865^0.08931348^-0.01625867^-0.060113076^0.14089729^-0.12038249^-0.12024669^-0.07354738^0.110548295^0.028733546^0.16950728^-0.08669063^-0.033980522^0.033503514^0.0064506265^0.038831644^0.05312232^-0.0038562156^-0.08855177^0.16136155^-0.013689124^0.08736981^-0.08137411^-0.07751731^0.0066135395^-0.057646036^-0.057597008^0.11897256^0.10398182^0.038928043^-0.020785704^0.08735582^0.036836423^0.02748658^0.12485086^0.10672842^-0.04002347^-0.14101504^-0.024163093^-0.042107116^-0.18752^0.13660932^-0.18999478^0.058605194
AamirKhan,-0.015185552^-0.027742283^-0.1441302^0.08948959^-0.11569172^-0.05560104^0.014611798^0.030080695^0.11377507^0.04643816^0.12624511^0.047179937^0.14212646^0.20485741^-0.14853542^-0.06936505^0.038157046^-0.043582536^-0.04069203^0.14582378^0.057435315^-0.24473268^-0.057154883^0.16819133^-0.039300095^-0.05670195^-0.0042226757^0.045593966^-0.029084025^0.12756814^-0.075629614^0.0415314^0.08734029^-0.012159999^-0.22461584^0.11184887^-0.08570846^0.12225202^-0.2312763^-0.018371277^-0.0605935^-0.02067246^-0.07964469^-0.022630883^0.012709965^-0.111910954^0.0055102436^-0.009926146^0.08726052^-0.0028626125^0.006131364^0.086160496^-0.031987324^0.03637922^0.20112813^0.09655073^-0.11876954^0.04026031^0.10669588^-0.10025021^-0.064001486^-0.0407746^0.064605966^-0.037538003^-0.07622864^0.11423633^0.062877886^0.018605355^-0.022094412^0.0090063745^0.022152111^-0.03751678^0.002210926^0.005292521^0.11189338^0.06783085^0.110946216^0.040472493^-0.019025728^-0.032758527^-0.118749335^-0.07698929^-0.045531612^-0.11195525^-0.026898488^0.11256733^0.024603475^-0.0054080104^0.15417133^-0.022229087^-0.076652944^-0.14686464^0.10268638^-0.05066064^0.00088136626^-0.09318392^-0.041684166^-0.07523263^0.15201698^-0.035016842^0.08932719^0.0666635^0.065954685^-0.003820815^-0.11432398^0.13942079^-0.10038301^-0.041781735^-0.036429603^-0.131133^-0.07323037^0.08500764^-0.020796401^-0.059996672^0.016441816^0.054098397^0.09351599^-0.05331859^0.09118548^0.07942362^-0.07481592^-0.06511868^-0.037330136^0.051341373^-0.06758296^0.16575281^0.028881697^0.084031865
AamirKhan,-0.062206265^0.0020640946^-0.15443991^0.05194383^-0.11114378^-0.030293962^-0.031369656^0.061870985^0.07834834^0.10164631^0.094206855^0.062372003^0.1381482^0.14424276^-0.18137081^-0.00084390235^0.022551045^-0.009359321^-0.0412494^0.13132583^0.052007075^-0.2556087^-0.031920396^0.15303622^-0.051499795^-0.02319168^0.014758761^0.03559987^-0.02099484^0.088302605^-0.09354235^0.08140514^0.08300576^0.023557015^-0.26457903^0.08726831^-0.058997527^0.09642759^-0.16806795^0.032110065^-0.06581579^-0.05981369^-0.0041350136^-0.0729424^0.039688054^-0.18630259^0.064939305^-0.027330402^0.052805234^0.04768809^0.054270755^0.041456178^-0.07687801^0.078079134^0.16933247^0.103873715^-0.030692082^-0.010034836^0.10822829^-0.1116869^-0.045829438^-0.028470134^0.04851389^-0.06833764^-0.08584912^0.09822957^0.03221244^0.0140488865^-0.011378591^0.022257594^-0.0403515^-0.0010709487^-0.027481774^0.07359531^0.13410491^0.050910022^0.13099518^0.08525407^-0.04198863^-0.10017306^-0.12082028^-0.033128075^0.003955759^-0.061740648^-0.058236364^0.16837984^0.021212125^0.02851126^0.20015581^-0.045582913^-0.108076364^-0.14131042^0.083331116^-0.027493304^0.042387705^-0.03857438^-0.07379516^-0.000412885^0.098467626^-0.012496476^0.056869965^-0.007905908^0.025977034^0.086596355^-0.03499906^0.12737462^-0.13696936^-0.03803969^-0.09006851^-0.137139^-0.14531851^0.111883596^0.030007109^-0.04417148^0.010776332^0.013905558^0.12061587^-0.046503298^0.11249284^0.07261455^-0.037748393^-0.0419147^0.027581993^0.010208206^-0.11802018^0.14258057^-0.028117253^0.09231796
AamirKhan,-0.068341285^0.06521979^-0.11564971^-0.010532677^-0.09182512^0.024195712^-0.065432355^-0.015642479^0.12779908^0.1227437^0.126145^0.030365614^0.14730965^0.12893823^-0.12223386^-0.006577492^0.00068051135^0.045371994^-0.08451011^0.10752765^0.06323962^-0.18227145^0.0003320586^0.25386256^-0.06290015^-0.018040027^0.050976526^0.005999608^0.048443682^0.097943865^-8.364455e-06^0.009518629^0.08021371^0.0319229^-0.160469^0.13816196^-0.030221228^0.1452255^-0.14980122^0.03915995^-0.10559893^-0.046589285^-0.08222942^-0.0012286636^0.023645654^-0.17575017^0.06748038^0.07842277^0.027094623^0.038060192^0.007542688^0.04342752^-0.05970735^0.016823925^0.13970669^0.14086734^-0.054270964^0.0813289^0.06353375^-0.16487521^-0.11256665^-0.028035196^0.14681086^-0.08283912^-0.07291307^0.07570923^0.04455438^0.043299027^-0.056208063^0.07205886^-0.029244438^-0.0131275235^-0.060416624^0.028153133^0.12218931^-0.008896455^0.053955212^0.120054014^0.015334934^-0.09394019^-0.068259515^0.041173797^-0.041263614^-0.089026995^-0.060912732^0.08370305^0.01360104^0.03222431^0.18368885^0.010009524^-0.046254963^-0.15193185^0.12587692^-0.005407088^0.056844328^-0.06958646^-0.13766637^0.0155969625^0.114507996^-0.032763585^0.09712202^-0.013238522^-0.04323147^0.04962148^-0.042499416^0.13234578^-0.1341907^-0.14017919^-0.0058902176^-0.102322094^-0.07772802^0.16899337^0.033800326^0.021318275^0.01893102^0.07548036^0.039439842^-0.0685394^0.059449356^0.08889322^0.010245739^-0.07074544^-0.020839954^0.0469987^-0.17807141^0.1691332^-0.056444485^0.05976223
AamirKhan,-0.013888194^-0.10955525^-0.052192237^0.06412275^-0.063941434^-0.09564766^0.0060393265^0.11284666^0.024928743^0.111765236^0.08928466^0.026664725^0.1497185^0.23474465^-0.039063003^-0.057723694^0.08925856^0.04202975^0.012221516^0.17274559^0.06628142^-0.22308892^-0.011683175^0.16121319^-0.024404718^-0.021376526^-0.011454814^0.058653217^-0.029740848^0.06153151^-0.104396895^0.035939675^0.1063173^0.031474534^-0.1665972^0.10832263^-0.03624823^0.12141536^-0.2241696^-0.11377011^-0.051262125^0.0010999206^-0.0073673762^-0.014905104^-0.051035926^-0.15498464^0.0036158473^0.019341009^0.1165711^0.027705656^0.04474732^-0.005423349^-0.08645531^0.06750375^0.24289992^0.056338288^-0.08512097^-0.0347327^0.13599749^-0.13215521^-0.022578677^-0.08103744^-0.03301218^0.008821415^-0.05470413^0.117322624^0.00423064^0.019468483^0.01774817^0.030139657^-0.003446251^-0.013575826^0.02699562^-0.0063552344^0.04670797^-0.0044254535^0.12557738^0.10193147^0.0574575^-0.10710154^-0.09668215^-0.048925977^-0.017864736^-0.12465642^0.03333368^0.021035772^0.028257253^0.10697891^0.2361153^0.021679753^-0.049838644^-0.0655554^0.07370395^-0.08012133^-0.027497^-0.09003963^-0.051888432^0.0020131893^0.08410922^-0.064679325^0.08718915^0.0754017^0.111812174^-0.057026945^-0.04894123^0.106465176^-0.09872888^-0.10688964^0.056844197^-0.1163043^-0.119497836^0.09965767^-0.022649096^-0.036085356^0.049651735^-0.0067601018^0.19207701^-0.11897401^0.011756355^0.047978763^-0.05501728^-0.024927258^0.0069881184^0.06586654^-0.0890401^0.08924624^0.09463767^0.08906222
AamirKhan,-0.038293697^-0.05090597^-0.0782412^0.01783932^-0.054054618^-0.070188224^0.02844481^0.0759222^0.0797847^0.06658785^0.068857595^0.041979607^0.16472346^0.14915822^-0.11562202^-0.0220623^0.0014735089^-0.03142797^-0.13517939^0.16358799^0.029102994^-0.25057283^-0.0042921375^0.19609056^-0.07799018^-0.086794525^-0.019059587^0.067542784^-0.03687312^0.029166324^-0.08519931^0.023016762^0.03947926^0.052530583^-0.27013022^0.08738304^-0.07606811^0.08995652^-0.23377225^0.042976636^-0.013274482^-0.044384353^-0.027749678^-0.08139772^0.017440736^-0.12774952^-0.011047941^0.045243096^0.088403545^0.10332719^-0.005459742^-0.038166057^-0.09260136^0.052523606^0.15409502^0.06263994^-0.06055353^0.031951804^0.11158174^-0.05218507^-0.035841748^0.03288534^-0.017047605^-0.0056583653^-0.11563309^0.09567181^0.001485604^0.04600055^-0.026100714^-0.03478005^-0.02007902^0.011927905^0.012487478^0.07655252^0.14538452^0.082667954^0.12221091^0.08523815^0.023632798^-0.0773389^-0.066923186^-0.09456898^-0.013461178^-0.056488518^-0.079288445^0.18898472^0.043836575^0.048765823^0.12802397^-0.028350214^-0.052251376^-0.11868845^0.118691^-0.056457426^-0.02866679^-0.028274622^-0.11450565^-0.040123962^0.11894378^-0.029115904^0.07078085^-0.030919049^0.029131144^0.07164622^-0.014580682^0.09245615^-0.17617403^0.0045122523^-0.060301494^-0.11324637^-0.105724305^0.13925795^0.040292826^-0.012408517^-0.0469471^0.07565868^0.08727601^0.038841713^0.019130286^0.11097984^-0.0780575^-0.018898426^-0.05662179^0.08423891^-0.18645632^0.12779562^-0.12819864^0.050834674
AamirKhan,-0.0665946^-0.045731135^-0.0951687^0.022063876^-0.05093872^-0.020854468^0.013755243^0.08325855^0.060751863^0.12506533^0.07898304^0.060121376^0.14315495^0.15349486^-0.078550115^-0.016560033^0.018259713^-0.007291873^-0.05598868^0.11041129^0.041172795^-0.25265712^-0.0007064873^0.23329875^-0.027142527^-0.034267053^0.0011256501^0.020761894^0.013825004^0.023940276^-0.034735188^0.049809195^0.039909482^0.029846195^-0.2627123^0.105902374^-0.0800741^0.08834525^-0.1900908^0.05702098^0.012383486^-0.028912023^-0.05220625^-0.05566591^-0.016021801^-0.1774926^0.029627025^0.017140532^0.08849499^0.006180908^0.012097538^-0.019339882^-0.082890555^0.022998976^0.1517469^0.11212977^-0.03661497^0.087983474^0.108796574^-0.088663734^-0.08032393^-0.0026337828^0.02619715^-0.044976726^-0.078738704^0.12710567^0.021486813^0.0388692^-0.0041276882^0.017048307^-0.036339693^0.07036946^-0.012854627^0.07273837^0.16042389^0.049604386^0.082991555^0.12350618^0.007993957^-0.10708824^-0.110864215^-0.015425401^0.016153637^-0.07621713^-0.06450768^0.13338894^0.082686245^0.06937919^0.13178325^-0.08018304^-0.067710795^-0.0904464^0.11500425^-0.06983097^0.016045647^-0.062342666^-0.10009023^-0.016740056^0.113473^-0.016192995^0.04349073^-0.059389446^0.035925616^0.07766697^-0.045241993^0.11734866^-0.16676474^-0.061296117^-0.04593063^-0.13682586^-0.109314814^0.1582496^0.041359533^-0.04227972^0.012783843^0.06062621^0.075034395^-0.037890214^0.050811533^0.10890528^-0.031921588^-0.05045192^-0.055943377^0.051545285^-0.2085167^0.17092456^-0.12942067^0.08918858
AamirKhan,-0.050336912^0.019200103^-0.097308986^0.058735166^-0.08603255^-0.040487487^-0.022433745^0.03556757^0.08018297^0.08129389^0.09317858^0.030840248^0.15161575^0.17018126^-0.1276213^0.003164283^0.044792283^-0.029350396^-0.07871184^0.13405868^0.061551068^-0.27850434^0.023984592^0.16859205^-0.015507826^-0.07915546^-0.01748301^0.061074805^-0.005439887^0.06694237^-0.04117602^0.051280443^0.09321903^0.040440638^-0.25790402^0.08530198^-0.05373841^0.14222728^-0.16460598^0.018056601^-0.06875945^-0.043064404^-0.011323307^-0.12151816^0.03534435^-0.16609173^0.02581874^-0.0039542275^0.06520733^0.06136584^0.02101839^0.04189614^-0.05343959^0.05628606^0.14466444^0.08498596^-0.019056298^0.0091662^0.09816052^-0.11233751^-0.06898897^-0.004423906^0.015255491^-0.0837019^-0.08401175^0.14921805^0.013160054^0.050837^-0.06600707^0.0025498348^-0.018449796^0.008907713^-0.049958922^0.06038176^0.16410282^0.0702418^0.13355999^0.05282934^-0.0064628143^-0.049055725^-0.1323728^-0.07946128^0.016823502^-0.051563688^-0.054191098^0.15779465^0.0042007584^0.03192626^0.1665137^-0.050379496^-0.0974966^-0.14258237^0.13489048^-0.01571843^0.023853844^-0.07164079^-0.09526548^0.020301756^0.08921314^-0.027334053^0.063121654^-0.015717972^0.011847625^0.10731418^-0.017634567^0.13206093^-0.12052237^-0.025373122^-0.015228241^-0.15495326^-0.15632764^0.1270046^0.02902228^0.00017870258^0.016374342^0.056372363^0.076373756^0.01846679^0.07268208^0.13200194^-0.060735896^-0.03063062^-0.038454317^0.040363267^-0.13168028^0.15371901^-0.036943763^0.08963299
AamirKhan,-0.046565454^0.041988943^-0.15516059^-0.031636722^-0.15021048^0.06756682^-0.038708944^0.08001202^0.09605174^0.16227125^0.08242056^-0.008888626^0.15515657^0.17824107^-0.07282392^-0.051962174^0.05986402^-0.01660641^-0.008711^0.030993994^-0.017740343^-0.080872856^-0.043441255^0.19007222^-0.12947524^-0.013780296^0.034027126^0.04360148^0.056469813^0.07600276^-0.018693786^0.059359185^0.018003758^-0.00802418^-0.18348317^0.13018553^-0.014610585^0.1236763^-0.13960162^0.14329672^-0.13135488^0.010901454^-0.16248979^-0.0750626^0.05029968^-0.18050285^0.0082171615^0.07335549^0.083170794^0.02226546^0.073708445^0.13393684^-0.04706238^0.029346723^0.073139^0.119456366^-0.006924115^0.053025845^0.117139146^-0.13157113^-0.115175344^0.0065082917^0.08602463^-0.13826174^-0.13681045^0.041669168^0.16505449^0.041157752^-0.0050513605^0.07276304^-0.028906737^-0.0013533697^-0.023879604^0.11136561^0.07547532^-0.022553418^0.03908431^0.06055406^0.005689633^-0.091527075^-0.022449596^0.023760442^-0.013223374^-0.10637144^0.01717181^0.04000657^0.02019778^-0.02273237^0.1888592^-0.03324411^-0.08342279^-0.09980776^0.15009356^0.009157716^0.08940276^-0.07022784^-0.018361546^-0.042483233^0.070699304^0.023736741^0.10482071^0.049770735^-0.037752897^0.0621356^-0.1143949^0.08784891^-0.13547164^-0.219075^-0.037368134^-0.037422184^-0.037188508^0.12702498^0.049840294^-0.03660125^-0.013420782^0.046023987^0.11098942^-0.09943315^0.078653075^0.011196356^0.010966649^-0.12448489^0.05666435^-0.0048206393^-0.13207324^0.12303435^-0.07615126^0.06812367
AamirKhan,-0.076767795^0.021619031^-0.10333324^0.035645925^-0.084890336^-0.028806753^-0.011315119^0.02531798^0.057330932^0.08152742^0.032111563^0.026230516^0.13993445^0.1543283^-0.13518733^-0.022652345^0.018484829^0.008117261^-0.05318476^0.10214791^0.043669734^-0.28950483^0.0709044^0.16861415^-0.033975642^-0.111262724^-0.015370288^0.023972783^-0.05218764^0.056874003^-0.053138163^-0.009595196^0.08907157^0.029692763^-0.22110394^0.057553142^-0.04621912^0.1210004^-0.19185387^0.034174494^-0.080585726^-0.0432657^0.011717358^-0.101688^-0.0003678534^-0.13947806^0.046277586^-0.0034680932^0.062341455^0.11631886^0.04354937^-0.027088901^-0.040720616^0.06694258^0.1357121^0.08885768^0.052544136^0.014237329^0.12957875^-0.10729949^-0.030108998^0.046132736^-0.0040386217^-0.095651194^-0.045946795^0.079343654^-0.009231515^0.023203162^-0.07906273^0.034922566^-0.024323033^0.029360931^-0.048879653^0.07018897^0.13381743^0.09564471^0.11010155^0.06077958^0.016074633^-0.08418289^-0.16065247^-0.086302005^0.010826511^-0.013863806^-0.08845526^0.15784667^-0.010092477^0.013497124^0.1552263^-0.06642293^-0.116009474^-0.13402003^0.17521314^-0.0872767^0.03475545^-0.05904469^-0.10481124^0.07426168^0.07655908^0.0009494206^0.06534794^-0.0044195782^0.020463126^0.11102952^0.02401355^0.076088496^-0.1400441^-0.027355906^-0.0739054^-0.10335809^-0.14639981^0.1066632^0.08622713^-0.018954758^-0.045665864^0.08755243^0.113213085^0.03212014^0.055147983^0.140549^-0.060892772^-0.036582686^-0.06514014^0.015936008^-0.17351967^0.13746208^-0.10042505^0.08872882
